WeekDate,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
2014-11-10,2501.0,90.0,30.0,1257.0,352.0
2014-11-17,1839.0,44.0,31.0,1436.0,394.0
2014-11-24,1426.0,45.0,21.0,1248.0,322.0
2014-12-01,1725.0,36.0,26.0,1259.0,375.0
2014-12-08,1712.0,45.0,18.0,839.0,311.0
2014-12-15,1590.0,34.0,45.0,1240.0,250.0
2014-12-22,1381.0,39.0,28.0,1100.0,290.0
2014-12-29,1301.0,66.0,15.0,1363.0,438.0
2015-01-05,1430.0,58.0,17.0,1279.0,365.0
2015-01-12,1511.0,53.0,21.0,1385.0,350.0
2015-01-19,2002.0,39.0,31.0,1564.0,313.0
2015-01-26,1686.0,24.0,12.0,1431.0,360.0
2015-02-02,1383.0,46.0,23.0,1295.0,327.0
2015-02-09,1753.0,54.0,24.0,1250.0,375.0
2015-02-16,1332.0,42.0,44.0,1333.0,407.0
2015-02-23,1432.0,49.0,35.0,1470.0,363.0
2015-03-02,1093.0,102.0,28.0,1207.0,406.0
2015-03-09,1486.0,67.0,40.0,1278.0,394.0
2015-03-16,1655.0,57.0,27.0,1355.0,560.0
2015-03-23,1417.0,67.0,31.0,1281.0,424.0
2015-03-30,1365.0,98.0,48.0,1311.0,307.0
2015-04-06,1377.0,40.0,38.0,1344.0,453.0
2015-04-13,1798.0,72.0,28.0,1567.0,679.0
2015-04-20,1694.0,82.0,15.0,1386.0,530.0
2015-04-27,1604.0,91.0,14.0,1312.0,413.0
2015-05-04,1188.0,51.0,24.0,1630.0,345.0
2015-05-11,1472.0,59.0,20.0,1243.0,397.0
2015-05-18,1413.0,44.0,22.0,1409.0,441.0
2015-05-25,1666.0,109.0,22.0,1188.0,365.0
2015-06-01,1470.0,49.0,46.0,1314.0,453.0
2015-06-08,1804.0,95.0,34.0,1295.0,390.0
2015-06-15,2133.0,45.0,36.0,1385.0,359.0
2015-06-22,1842.0,46.0,32.0,1400.0,312.0
2015-06-29,1434.0,60.0,30.0,1102.0,494.0
2015-07-06,1352.0,41.0,29.0,1253.0,416.0
2015-07-13,1245.0,84.0,39.0,1237.0,326.0
2015-07-20,1521.0,77.0,18.0,1289.0,296.0
2015-07-27,1475.0,73.0,18.0,1193.0,418.0
2015-08-03,2263.0,83.0,23.0,1156.0,285.0
2015-08-10,1662.0,48.0,21.0,1356.0,340.0
2015-08-17,1610.0,30.0,26.0,1682.0,286.0
2015-08-24,1536.0,44.0,32.0,1426.0,287.0
2015-08-31,1972.0,60.0,47.0,1408.0,292.0
2015-09-07,1721.0,50.0,37.0,1515.0,407.0
2015-09-14,1919.0,62.0,57.0,1409.0,402.0
2015-09-21,3746.0,143.0,28.0,1674.0,313.0
2015-09-28,2077.0,68.0,22.0,1308.0,444.0
2015-10-05,1423.0,68.0,30.0,1659.0,404.0
2015-10-12,1596.0,89.0,35.0,1377.0,420.0
2015-10-19,1994.0,82.0,31.0,1480.0,446.0
2015-10-26,1436.0,82.0,28.0,1347.0,440.0
2015-11-02,2268.0,61.0,20.0,1195.0,382.0
2015-11-09,2151.0,57.0,25.0,1772.0,373.0
2015-11-16,1794.0,39.0,28.0,1400.0,356.0
2015-11-23,2534.0,34.0,31.0,1484.0,332.0
2015-11-30,3564.0,42.0,34.0,1482.0,322.0
2015-12-07,2341.0,49.0,37.0,1209.0,339.0
2015-12-14,2494.0,35.0,23.0,1194.0,260.0
2015-12-21,1930.0,45.0,23.0,1257.0,228.0
2015-12-28,1845.0,32.0,18.0,982.0,290.0
2016-01-04,1813.0,39.0,21.0,1299.0,271.0
2016-01-11,1898.0,37.0,29.0,1361.0,324.0
2016-01-18,1860.0,86.0,20.0,1211.0,307.0
2016-01-25,1670.0,97.0,29.0,1289.0,401.0
2016-02-01,1543.0,84.0,30.0,1601.0,322.0
2016-02-08,1765.0,52.0,23.0,991.0,295.0
